Game Title,Price,Description,Details
Star Wars Black Series: General Veers - Exclusive 2018 Action Figure Hasbro,117 RON,"Figurina articulata de 15cm cu  General Veers din Star Wars, parte din Star Wars Black Series de la Hasbro.","Limba: Engleza, Varsta: 4, "
Game of Thrones PVC Statue Brienne of Tarth 20 cm,199 RON,"Statueta de PVC de 20cm cu Brienne din Game of Thrones, produsa de Dark Horse.","Limba: Engleza, "
DC HeroClix: Batman Classic TV Series Batmobile,139 RON,"Macheta cu Batmobilul din serialul clasic de la TV, realizat de HeroClix.","Limba: Engleza, "
Mcfarlane Rick and Morty The Discreet Asassin Toy Set,65 RON,Joc de constructie cu figurina McFarlane Rick and Morty The Discreet Asassin Toy Set. 54 de piese. Pentru varste mai mari de 14 ani.,"Limba: Engleza, Varsta: 14, "
Figurina Funko POP! Coming to America - Prince Akeem,79 RON,Figurina Funko POP! din gama MOVIES cu Prince Akeem din Coming to America. Masoara aproximativ 10cm.,"Limba: Engleza, "
Figurina A Clockwork Orange - Alex Delarge 30cm Action Figure - Mezco Toys,399 RON,"Figurina de colectie de 30 cm, realizata de Mezco Toys, cu Alex Delarge din filmul A Clock Work Orange.","Limba: Engleza, "
Adventure Time Finn 7cm Action Figure with Slimeprincess Accessories,99 RON,Adventure Time Finn 7cm Action Figure with Slimeprincess Accessories include o figurina de 7cm cu 10 puncte de articulatie si accesorii. Producator JazWres.,"Limba: Engleza, "
McFarlane South Park Professor Chaos & Holding Cell Construction Set,65 RON,Joc de constructie cu figurina McFarlane South Park Professor Chaos & Holding Cell Construction Set 39 de piese. Pentru varste mai mari de 14 ani.,"Limba: Engleza, Varsta: 14, "
McFarlane South Park - Human Kite & Super Computer,65 RON,Joc de constructie cu figurina McFarlane South Park - Human Kite & Super Computer. 42 de piese. Pentru varste mai mari de 14 ani.,"Limba: Engleza, Varsta: 14, "
McFarlane Steven Universe Period with Jailbreak Construction Set,65 RON,Joc de constructie cu figurina McFarlane Steven Universe Period with Jailbreak Construction Set. 42 de piese. Pentru varste mai mari de 12 ani.,"Varsta: 12, "
McFarlane Steven Universe Pearl,65 RON,Joc de constructie cu figurina McFarlane Steven Universe Pearl. 40 de piese. Pentru varste mai mari de 12 ani.,"Varsta: 12, "
McFarlane South Park PC Principal & Principals Office Small Construction Set,99 RON,Joc de constructie cu figurina McFarlane South Park PC Principal & Principal's Office Small Construction Set. 101 de piese. Pentru varste mai mari de 14 ani.,"Limba: Engleza, "
